country_id,flag_image_url
PM,https://flagsapi.com/PM/flat/64.png
PN,https://flagsapi.com/PN/flat/64.png
PR,https://flagsapi.com/PR/flat/64.png
PS,https://flagsapi.com/PS/flat/64.png
PT,https://flagsapi.com/PT/flat/64.png
PW,https://flagsapi.com/PW/flat/64.png
PY,https://flagsapi.com/PY/flat/64.png
QA,https://flagsapi.com/QA/flat/64.png
RE,https://flagsapi.com/RE/flat/64.png
RO,https://flagsapi.com/RO/flat/64.png
RS,https://flagsapi.com/RS/flat/64.png
RU,https://flagsapi.com/RU/flat/64.png
RW,https://flagsapi.com/RW/flat/64.png
SA,https://flagsapi.com/SA/flat/64.png
SB,https://flagsapi.com/SB/flat/64.png
SC,https://flagsapi.com/SC/flat/64.png
SD,https://flagsapi.com/SD/flat/64.png
SE,https://flagsapi.com/SE/flat/64.png
SG,https://flagsapi.com/SG/flat/64.png
SH,https://flagsapi.com/SH/flat/64.png
SI,https://flagsapi.com/SI/flat/64.png
SJ,https://flagsapi.com/SJ/flat/64.png
SK,https://flagsapi.com/SK/flat/64.png
SL,https://flagsapi.com/SL/flat/64.png
SM,https://flagsapi.com/SM/flat/64.png
SN,https://flagsapi.com/SN/flat/64.png
SO,https://flagsapi.com/SO/flat/64.png
SR,https://flagsapi.com/SR/flat/64.png
SS,https://flagsapi.com/SS/flat/64.png
ST,https://flagsapi.com/ST/flat/64.png
SV,https://flagsapi.com/SV/flat/64.png
SX,https://flagsapi.com/SX/flat/64.png
SY,https://flagsapi.com/SY/flat/64.png
SZ,https://flagsapi.com/SZ/flat/64.png
TC,https://flagsapi.com/TC/flat/64.png
TD,https://flagsapi.com/TD/flat/64.png
TF,https://flagsapi.com/TF/flat/64.png
TG,https://flagsapi.com/TG/flat/64.png
TH,https://flagsapi.com/TH/flat/64.png
TJ,https://flagsapi.com/TJ/flat/64.png
TK,https://flagsapi.com/TK/flat/64.png
TL,https://flagsapi.com/TL/flat/64.png
TM,https://flagsapi.com/TM/flat/64.png
TN,https://flagsapi.com/TN/flat/64.png
TO,https://flagsapi.com/TO/flat/64.png
TR,https://flagsapi.com/TR/flat/64.png
TT,https://flagsapi.com/TT/flat/64.png
TV,https://flagsapi.com/TV/flat/64.png
TW,https://flagsapi.com/TW/flat/64.png
TZ,https://flagsapi.com/TZ/flat/64.png
UA,https://flagsapi.com/UA/flat/64.png
UG,https://flagsapi.com/UG/flat/64.png
UM,https://flagsapi.com/UM/flat/64.png
US,https://flagsapi.com/US/flat/64.png
UY,https://flagsapi.com/UY/flat/64.png
UZ,https://flagsapi.com/UZ/flat/64.png
VA,https://flagsapi.com/VA/flat/64.png
VC,https://flagsapi.com/VC/flat/64.png
VE,https://flagsapi.com/VE/flat/64.png
VG,https://flagsapi.com/VG/flat/64.png
VI,https://flagsapi.com/VI/flat/64.png
VN,https://flagsapi.com/VN/flat/64.png
VU,https://flagsapi.com/VU/flat/64.png
WF,https://flagsapi.com/WF/flat/64.png
WS,https://flagsapi.com/WS/flat/64.png
XK,https://flagsapi.com/XK/flat/64.png
YE,https://flagsapi.com/YE/flat/64.png
YT,https://flagsapi.com/YT/flat/64.png
ZA,https://flagsapi.com/ZA/flat/64.png
ZM,https://flagsapi.com/ZM/flat/64.png
ZW,https://flagsapi.com/ZW/flat/64.png
